participant_id	session	task	bids_meta.modality	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	provenance.md5sum	provenance.settings.testing	provenance.software	provenance.version	provenance.warnings.large_rot_frame	provenance.warnings.small_air_mask	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-5006	pre	anat-wholebrain	T1w	0.7343	1.8060	0.6287	30531.6738	4.2448	4.1721	4.2962	4.2661	0.2198	0.4290	0.3512	1.1826	0.4409	8e9f96eab1dcda1ad18b6d6f7761881c	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0138	0.0188	22.2983	11.7462	16.5399	176	224	256	3.9149	11.0805	11.6650	19.9997	41.8424	81.4512	73.5720	97.4222	1	1	1	30.0196	6.7250	4.9410	4.5359	1985340	0	13.7468	6.8473	0.1849	106.4590	448.3810	429.5124	43273	299.1519	653.5867	109.7111	0.1902	72.2083	838.6686	836.0970	21663	719.4955	972.0204	75.4550	0.3221	48.1746	1004.9890	1000.0393	182793	931.1511	1095.0597	50.0026	0.2142	0.4970	0.5245	0.5883
sub-5006	post	anat-wholebrain	T1w	0.7360	1.7861	0.6216	28407.9590	4.1457	4.0757	4.1593	4.2020	0.2086	0.4355	0.3559	1.1059	0.3984	733d88e7ec668dee9521db7695b1849a	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0110	0.0174	23.6382	11.9003	16.7257	176	224	256	3.6524	11.4881	11.8101	20.2897	38.7155	79.5065	70.8856	94.4347	1	1	1	16.4424	6.9377	4.6309	4.6794	2026315	0	14.0765	5.7946	0.4180	101.6537	437.0721	409.9861	29403	296.9406	655.2403	112.2478	0.3159	68.1219	844.5927	841.9509	20619	729.1841	976.5031	73.2870	0.3116	48.2240	1004.0302	1000.0364	183495	930.6921	1091.2679	49.2877	0.2217	0.5017	0.5311	0.6114
sub-5007	pre	anat-wholebrain	T1w	0.6933	1.9743	0.6636	29240.8652	4.4807	4.3531	4.6267	4.4621	0.2401	0.4227	0.3372	1.1576	0.3811	7a714b89d150b7aa49e1ec6277069656	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0081	0.0205	19.3216	10.8940	15.5515	176	224	256	4.4894	13.1238	12.8976	21.0797	42.2032	82.8482	74.4815	98.3932	1	1	1	12.5991	6.6585	5.1817	4.4911	2146373	0	13.8742	6.0789	0.5609	91.9117	442.9339	428.9332	80266	310.9750	615.4937	95.5423	-0.0004	63.1810	840.2672	842.0295	31591	732.5776	945.6599	64.1596	0.1612	46.3622	1002.6573	1000.0214	202551	929.0004	1085.0609	47.4400	0.2235	0.5085	0.5543	0.6270
sub-5007	post	anat-wholebrain	T1w	0.8133	1.6443	0.6675	35281.0234	4.4504	4.3600	4.5275	4.4637	0.2342	0.4291	0.3367	1.1574	0.4016	64da2547831fb74f11fc276623e7ec03	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0136	0.0030	19.7286	10.8101	15.5179	176	224	256	4.4622	11.3719	11.9757	20.0931	46.3235	89.9534	80.6299	105.6130	1	1	1	16.7844	6.2034	5.3887	4.1841	1899012	0	16.7680	6.7022	0.4076	95.0792	452.8779	438.6286	79187	315.9010	630.9992	98.2977	0.1084	72.5290	851.3265	851.7520	35766	730.9468	980.7011	74.8990	0.2699	48.0693	1004.7663	1000.0303	202108	931.1991	1094.1394	49.7696	0.2221	0.5098	0.5484	0.5375
sub-5008	pre	anat-wholebrain	T1w	0.8306	1.6765	0.6150	31395.6758	4.1401	4.1705	4.1210	4.1290	0.2198	0.4250	0.3552	1.4338	0.4519	55d43db6d3d6e24e49e68ef514063e5b	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0197	0.0147	21.6820	11.6761	16.4121	176	224	256	3.7364	11.7722	12.4517	21.8465	38.3740	87.2414	75.8561	101.9528	1	1	1	27.2824	6.4261	4.4376	4.3343	2320901	0	13.1701	5.3752	1.3447	79.8069	404.3845	376.4009	30747	291.4659	610.9909	100.7365	-0.3520	77.0876	857.0618	855.7279	29151	742.1716	980.0530	72.6892	0.8781	42.7657	1001.5818	1000.0278	200099	929.6891	1078.9431	45.7751	0.2237	0.4945	0.5384	0.6565
sub-5009	pre	anat-wholebrain	T1w	0.6950	2.0055	0.6262	37657.7852	4.1198	4.1231	4.0314	4.2049	0.2101	0.4467	0.3432	1.2359	0.3843	3b83d2908757988e1fc748304d8a2d9c	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0090	0.0222	21.5975	10.7700	15.8924	176	224	256	4.1139	11.8270	12.9873	23.0212	43.6790	93.2109	82.9002	111.8106	1	1	1	16.6321	5.8595	4.1403	3.9522	1981018	0	11.9925	4.9820	2.3498	74.3804	415.0790	390.6623	47989	305.3381	607.6841	94.9606	-0.2701	72.3504	836.7057	833.6718	32024	727.0892	960.3652	70.4879	0.1698	43.2682	1000.7522	1000.0259	199604	931.0162	1072.7310	43.4393	0.2216	0.5086	0.5262	0.6224
sub-5009	post	anat-wholebrain	T1w	0.7082	1.9648	0.6444	39466.1641	4.1717	4.1959	4.0807	4.2385	0.1962	0.4498	0.3541	1.4109	0.4973	87156ef8e41356d09e7d9335576cbbe5	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0105	0.0091	23.0411	10.7674	15.4020	176	224	256	3.9880	11.2244	11.9231	20.5568	43.6060	92.6583	82.7994	112.1339	1	1	1	16.3161	5.8426	4.4018	3.9408	1727408	0	12.0509	5.2837	1.6662	78.8422	411.5594	388.8863	40527	297.3381	613.2660	97.5130	-0.2023	74.7452	830.7386	826.3429	32800	719.5033	962.1760	73.6188	0.2434	48.2580	1003.1651	1000.0303	206224	929.2517	1086.8943	48.6470	0.2237	0.5099	0.5255	0.6651
sub-5010	pre	anat-wholebrain	T1w	0.6422	2.0896	0.6705	32274.5352	4.1804	4.1101	4.2047	4.2265	0.1877	0.4470	0.3654	1.0207	0.3141	f7238aa432bdceefea85a3087adde774	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0259	0.0138	26.1973	11.9146	16.3105	176	224	256	3.9269	11.2669	12.1202	21.1669	39.6945	83.1622	74.8288	101.6298	1	1	1	17.7770	6.4465	5.7176	4.3481	1961894	0	17.5338	7.4669	2.6231	74.4738	414.1234	390.5889	31285	298.0490	622.5590	99.4638	-0.0664	73.2794	823.4739	818.3053	29123	714.9715	953.8712	72.6281	1.2135	43.4179	1003.3857	1000.0245	188362	932.0701	1085.6499	47.2445	0.2273	0.5073	0.5317	0.5348
sub-5011	pre	anat-wholebrain	T1w	0.7355	1.9031	0.5736	36136.2188	4.0480	4.0099	4.0078	4.1263	0.2006	0.4436	0.3558	1.0858	0.3328	fb6a860eaa3b90cd36400418229fc66a	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0373	0.0117	23.1444	11.3057	16.1269	176	224	256	3.8035	12.6539	12.6230	21.4118	42.0628	90.8991	80.1934	107.6183	1	1	1	14.5262	6.0878	3.7076	4.1061	2612800	0	12.4546	5.2545	6.2333	75.0746	415.4160	390.8634	34131	299.6261	632.0852	102.7638	-0.1194	68.1826	847.0233	844.6690	31895	742.5744	961.5421	66.7509	0.1799	46.0805	1003.8044	1000.0297	201606	933.4753	1085.7974	46.7045	0.2413	0.5183	0.5533	0.6191
sub-5011	post	anat-wholebrain	T1w	0.7478	1.8243	0.5748	28641.4023	4.0937	4.0476	4.0774	4.1561	0.1988	0.4429	0.3583	1.2858	0.4085	bdc1224302f9a5ee7402d520ca382e02	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0413	0.0348	23.4509	11.2932	15.9075	176	224	256	3.8224	11.4087	11.9197	20.5279	39.4748	81.8753	72.9890	97.6168	1	1	1	54.5307	6.7115	4.6918	4.5463	2498552	0	13.6507	6.0057	1.1865	83.6504	426.8968	404.3970	37091	300.5072	651.9920	105.7947	-0.1768	75.2067	841.8826	838.7670	35043	728.2962	971.3929	73.5187	0.4507	45.3801	1004.2451	1000.0297	202623	930.5063	1091.1889	48.7155	0.2393	0.5214	0.5543	0.6612
sub-5013	pre	anat-wholebrain	T1w	0.9350	1.4736	0.6240	35318.1836	4.2325	4.1092	4.2926	4.2958	0.2062	0.4453	0.3485	1.4470	0.5410	d7c234f1688ada0a13c141fd95d5f8ce	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0099	0.0171	23.1455	11.4776	16.6734	176	224	256	3.6763	10.3399	10.6074	17.8061	44.8532	91.2898	81.0654	107.0533	1	1	1	18.1988	6.1199	4.4228	4.1278	2629797	0	12.5920	5.4142	0.5931	102.8796	444.9759	418.9957	31694	303.5571	669.3466	113.9713	-0.0698	82.5201	851.2471	852.7828	28286	719.8355	993.6041	82.4732	0.2162	55.1568	1004.9537	1000.0370	191598	921.1642	1104.7815	56.1626	0.2345	0.5178	0.5465	0.5751
sub-5013	post	anat-wholebrain	T1w	0.7654	1.7274	0.6337	23523.5488	4.2004	4.1059	4.2216	4.2738	0.2147	0.4367	0.3486	1.3633	0.4754	f544351df89766ead467b3d1e2b996a7	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0264	0.0224	22.5789	11.6143	16.6774	176	224	256	3.7107	11.5497	11.6742	19.7623	36.9183	74.6651	66.6193	88.2745	1	1	1	625.1986	7.4218	5.2291	5.0358	2402183	0	15.1847	6.5282	0.6506	101.1873	443.6105	418.2328	36491	303.7572	665.0923	112.7074	0.2219	70.7226	844.9345	845.8514	23313	728.9387	970.9590	73.2344	0.8979	47.2889	1003.1230	1000.0268	189869	926.0966	1091.3837	50.6027	0.2346	0.5133	0.5502	0.5997
sub-5014	pre	anat-wholebrain	T1w	0.9055	1.4475	0.5487	33436.2813	4.0138	4.0342	3.9055	4.1018	0.1929	0.4354	0.3717	1.1853	0.3726	9b503bc2b641d1dcb98ebd4ac49e19bc	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0083	0.0207	31.2128	14.9471	20.4515	176	224	256	2.8677	9.4131	11.1474	21.1613	42.9783	88.6505	78.5593	104.0491	1	1	1	31.3367	6.2967	3.7941	4.2470	2794722	0	12.8329	5.3221	31.4342	103.2586	452.6049	413.0755	15622	308.2409	685.2550	144.0386	-0.2250	89.9389	861.4002	852.0414	17859	728.7627	1027.9109	90.5138	0.6809	44.0744	1006.4977	1000.0417	160078	939.3356	1093.1061	47.2579	0.2299	0.5200	0.5606	0.5840
sub-5014	post	anat-wholebrain	T1w	0.6679	1.9907	0.5634	31358.8652	4.0333	4.0833	3.9077	4.1089	0.1950	0.4326	0.3724	1.5338	0.4498	2a0f395e0e3c2bc9497fe4dab50909b0	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0277	0.0145	31.1277	15.0513	20.4655	176	224	256	3.6243	11.0781	12.2941	22.1798	43.9183	88.9886	80.2054	107.7092	1	1	1	19.0021	6.0827	3.9262	4.1027	2241284	0	12.5432	5.3132	-0.0155	105.1003	437.4396	407.7666	15721	296.6273	650.0096	112.5056	-0.2150	74.3042	832.3801	826.2296	16181	719.9866	967.8026	74.5802	0.6019	41.7837	1000.4237	1000.0443	159679	925.4139	1074.5518	45.0878	0.2369	0.5230	0.5676	0.6196
sub-5015	pre	anat-wholebrain	T1w	0.7458	1.7968	0.6594	7511.6030	4.1503	4.0658	4.2003	4.1849	0.2300	0.3998	0.3702	1.3892	0.4289	42bed46396f27b1eb994dfaac3e9e319	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0000	0.0129	19.7653	11.1497	14.3825	176	224	256	3.9095	10.1610	10.5368	17.5399	40.3705	82.2913	74.3177	100.2914	1	1	1	17.5947	6.5326	10.3888	4.4062	2240363	0	39.5357	14.3865	0.4499	97.3876	421.4702	402.5498	49066	285.6958	617.5081	102.9660	-0.0996	80.9453	828.7917	820.5588	14785	709.2526	976.0413	80.7529	1.5143	52.9180	1005.1767	1000.0452	218654	921.7576	1104.7767	57.0153	0.2149	0.4727	0.5192	0.5765
sub-5016	pre	anat-wholebrain	T1w	0.7392	1.7440	0.6253	32169.7441	4.2962	4.2323	4.3208	4.3354	0.2064	0.3938	0.3998	1.2891	0.4496	da287451688c4a4403cdca2b31950640	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0622	0.0075	22.7245	11.9670	14.4849	176	224	256	4.0255	10.5049	12.2740	22.2915	40.6638	82.7051	73.9674	98.5333	1	1	1	36.9280	6.6491	4.8374	4.4848	2248811	0	17.8701	9.3616	3.6952	90.9693	428.7094	412.7072	30571	289.9772	622.1570	102.5216	-0.0895	78.8090	847.3107	839.3944	17496	728.7657	991.9720	79.9024	1.3503	39.9373	1005.2217	1000.0384	239733	941.4028	1086.9273	44.8618	0.2262	0.4872	0.5510	0.6319
sub-5016	post	anat-wholebrain	T1w	0.8087	1.6761	0.6168	23724.5020	4.2432	4.1655	4.2547	4.3093	0.2058	0.4078	0.3865	0.8956	0.2785	dabf73c3ef17ce45281df2b82dbf6883	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0345	0.0209	22.4190	11.7555	15.0537	176	224	256	3.7772	10.6949	13.0889	24.7945	34.6791	72.5674	64.1998	85.3530	1	1	1	13.2169	7.6759	5.4058	5.1773	2150943	0	15.6091	6.4087	1.8108	85.5636	430.9185	406.3157	30867	297.1766	647.0959	107.5699	-0.2450	83.2521	856.3923	850.2318	23683	738.2206	998.2564	79.4971	0.6230	37.8901	1002.6177	1000.0336	242040	941.3842	1073.4711	40.3328	0.2310	0.4992	0.5573	0.5679
sub-5017	pre	anat-wholebrain	T1w	0.7691	1.7808	0.6266	33223.6914	4.2294	4.1830	4.2280	4.2773	0.2055	0.4380	0.3564	1.2206	0.4097	23e206ddd515028de690b54624b32959	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0247	0.0337	22.8299	11.4153	16.1629	176	224	256	3.6135	11.4420	12.1027	21.2526	40.6642	84.7265	75.2636	100.4000	1	1	1	13.8545	6.5255	4.4941	4.4014	2185612	0	13.2881	5.5923	2.4382	91.8528	432.3157	405.0352	29811	298.2536	661.5366	112.0885	-0.1374	75.0990	847.0686	843.9165	32776	733.7407	976.7855	73.7549	0.7683	44.9715	1002.7363	1000.0320	210942	931.1504	1083.5091	47.0544	0.2304	0.5154	0.5428	0.6318
sub-5017	post	anat-wholebrain	T1w	0.7234	1.8990	0.6432	11283.6719	4.1797	4.1358	4.0921	4.3112	0.1980	0.4302	0.3718	1.4484	0.5134	195963f93e5b7fee1e311504386cc181	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0000	0.0131	23.8007	11.5454	15.4717	176	224	256	3.7309	10.8902	11.5798	20.1183	47.9362	97.4778	87.7603	117.8670	1	1	1	10.5567	5.5584	6.5194	3.7491	2051049	0	22.2354	7.7614	0.8956	94.5745	429.6324	406.7077	26343	294.4924	646.3669	109.0074	0.0211	78.1177	830.5338	827.0358	24791	714.1185	961.2925	75.9415	0.5973	47.0219	1003.5112	1000.0255	212239	927.5851	1090.0728	49.7072	0.2298	0.5066	0.5405	0.6487
sub-5018	pre	anat-wholebrain	T1w	0.5848	2.2282	0.6500	28127.6152	4.1193	4.1519	4.0614	4.1445	0.1844	0.4512	0.3644	1.2741	0.4196	feb4113d571460351fadeb3db489ba73	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0154	0.0353	23.6524	10.6188	14.9206	176	224	256	3.8291	11.9052	12.6759	22.2934	37.8544	78.3813	70.7248	95.9387	1	1	1	11.1330	6.8289	4.6140	4.6489	1628042	0	13.8917	4.9489	1.3440	82.6999	420.4335	394.5784	26074	298.9498	629.6537	103.0447	0.2365	66.8783	821.6050	817.0135	33001	719.0250	944.9969	68.6257	0.5519	40.1387	1003.8409	1000.0240	217608	936.1557	1085.8037	44.8574	0.2316	0.5198	0.5451	0.5703
sub-5018	post	anat-wholebrain	T1w	0.6488	2.0485	0.6378	27213.1211	4.1060	4.1087	4.0838	4.1253	0.1933	0.4456	0.3612	0.8266	0.2599	8315267b289c925e2f637809693750c7	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0065	0.0384	22.7360	10.7181	15.1751	176	224	256	3.7452	11.9310	13.2454	24.0600	35.7458	76.8249	68.2568	92.1996	1	1	1	8.3937	7.1058	4.2385	4.8139	1963960	0	14.1727	4.6492	1.1042	82.6663	415.6334	387.7094	26533	294.8918	629.7202	103.5203	-0.0235	69.7931	837.0776	833.2656	27987	729.9556	961.3229	69.8391	0.6945	38.4050	1003.2327	1000.0248	214125	940.4818	1076.0080	41.5638	0.2288	0.5135	0.5427	0.5422
sub-5019	pre	anat-wholebrain	T1w	0.6579	2.0080	0.6421	32343.3984	4.3157	4.2829	4.3180	4.3461	0.1894	0.4224	0.3882	1.1811	0.3732	20e46d5c1b0c5723d6bce14c460425b4	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0314	0.0189	22.0176	10.6266	13.6137	176	224	256	3.4902	11.0554	13.5532	26.1141	42.1711	83.1211	75.1301	100.0981	1	1	1	21.9066	6.5451	4.4785	4.4146	1772589	0	13.2740	5.0838	0.3761	116.7570	449.4775	421.3098	39204	294.0526	675.9337	120.7110	-0.1177	76.9426	835.8219	830.4199	37550	722.5643	969.9592	75.1134	1.9279	34.6361	1003.4914	1000.0289	267285	947.8692	1070.0235	38.2945	0.2167	0.4999	0.5438	0.6281
sub-5019	post	anat-wholebrain	T1w	0.9150	1.4958	0.6443	5288.7607	4.3313	4.3069	4.3472	4.3398	0.2051	0.4123	0.3826	0.9264	0.3001	b555b21f8ce718c02f5bdb5d640cca57	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0000	0.0083	20.4742	10.7011	13.8001	176	224	256	3.5648	10.3504	12.1838	22.6361	34.0442	67.8783	60.3211	79.0407	1	1	1	6.1846	8.2890	8.0543	5.5908	1893963	0	27.2298	8.8597	-0.1107	119.2808	457.3038	430.7381	43097	301.0027	684.1561	120.8290	-0.4055	87.2705	863.0456	858.8184	30075	733.2078	1006.6206	82.9729	0.9788	41.9535	1005.2157	1000.0483	260234	942.4328	1084.2976	44.1794	0.2166	0.4928	0.5385	0.5650
